Name,Price,Quantity,Weight,Unit of Weight
Britannia Marie Gold Biscuits - 250g,Rs.80,1,250,gm
Britannia Marie Gold Biscuits 300 Gm,Rs.100,1,300,gm
Britannia Good Day Rich Cashew Cookies 200 Gm,Rs.100,1,200,gm
Lotte  Choco Pie 12Packs (Indian) 336 Gm,Rs.300,1,336,gm
Britannia Milk Rusks 31 Gm,Rs.190,1,31,gm
Ramro Jeera Zayka Cookies - Salty Crispy Cumin,Rs.60,1,,
Mcvities Digestive -1Kg,Rs.420,1,1,kg
Parle Monaco Classic Regular 150g,Rs.50,1,150,gm
Nebico Jeera Cookies 15 Gm,Rs.60,1,15,gm
Britannia Marie Gold Biscuits 300 gm Pack of 2,Rs.182,2,300,gm
Mcvities Hob-Nobs Original 300 gm,Rs.270,1,300,gm
Nebico Sugar Free Cracker 30 Gm,Rs.125,1,30,gm
Lotte Choco Pie 6Packs (Indian) 150g,Rs.150,1,150,gm
Mcvities Digestive Sugar Free 300G,Rs.250,1,300,gm
Britannia Marie Gold biscuits 250 gm Pack of 3,Rs.233,3,250,gm
Britannia Nutri Choice Sugarfree Cracker 300G,Rs.140,1,300,gm
Ramro Souff Rusk 335 Gm,Rs.110,1,335,gm
Coconut Crunchy 75 gm (Pack of 10),Rs.250,10,75,gm
Britannia Milk Rusk 620g,Rs.330,1,620,gm
A-Taste Multigrain Sugar Free Biscuits 320g (2pc X 16packs),Rs.475,1,320,gm
Britannia Milk Rusk 310g,Rs.173,1,310,gm
Sunfeast Dark Fantasy Choco Fills Cookies 75 gm,Rs.90,1,75,gm
Oreo Vanilla Cream 120 gm,Rs.60,1,120,gm
Munchy'S Vege Cracker -390G,Rs.375,1,390,gm
Britannia Digestive Sugar Free Biscuits 350G,Rs.310,1,350,gm
Mcvities Marie Biscuits 25 Gm,Rs.75,1,25,gm
Parle Hide & Seek Bourbon Biscuit 75 Gm,Rs.30,1,75,gm
Britannia Good Day Pista Badam Cookies 200 gm Pack of 2,Rs.190,2,200,gm
Gullon Diet Nature Sugar Free Choco Chips 125 G,Rs.250,1,125,gm
Britannia Vita Marie 300g Biscuits,Rs.143,1,300,gm
Munchy'S Munchini Wafer Twigs -100Gm,Rs.195,1,100,gm
Pran Potato Spicy Flavoured Biscuit 50 gm,Rs.42,1,50,gm
Gullon Choco Biscuit Sandwich 500 G,Rs.360,1,500,gm
Mcvities Marie Whole Wheat Biscuit 20 Gm,Rs.80,1,20,gm
Goodlife Butter Cookies 200G,Rs.50,1,200,gm
Goodlife Chocolate Cream Biscuits 45Gm,Rs.10,1,45,gm
Britannia Good Day Rich Butter Cookies 250GM (Pack of 2),Rs.190,2,250,gm
Mcvities Digestive Biiscuit Celebritypack Bipasha 500G,Rs.230,1,500,gm
Meidan Soda Milk Salt Crackers Pkt 450 gm,Rs.330,1,450,gm
Goodlife Digestive Biscuits 70G,Rs.15,1,70,gm
