Product name,Price
Wai Wai Chicken 85g (Pack of 30),Rs.750
"Wai Wai Zing Hot & Spicy Instant Noodle, 5 Packs, Free Bowl",Rs.120
Rara Instant Noodles With Chicken Soup Base 30packs,Rs.600
Wai Wai Veg Masala 65 Gm (Pack of 30),Rs.660
Wai Wai Chicken 65 gm (Pack of 30),Rs.660
Wai Wai Quick Chicken Pizza 70 Gm (Pack of 30),Rs.600
Samyang Buldak Jjajang Hot Chicken Flavor Ramen(Pack of 5),Rs.994
Wai Wai Chicken Bhujia Curry 750g,Rs.110
Nongshim Shin Cup Noodle 68g,Rs.170
Wai Wai Quick Masala Curry 30 packs,Rs.600
Saymang Buldak Topokki (Pasta Carbonara Flavor) Pack of 2 (tteokbokki) (rice cake),Rs.500
Nong-Shim Instant Shin Ramyun Noodle Soup 120G(Pack of 5),Rs.612
Maggi Veg Atta Noodles Masala 290 gm,Rs.240
Rara Instant Veg Noodles 70 Gm(Pack of 30),Rs.580
Hot Pot Gourmet Spicy Vegetable Noodles 100G,Rs.50
Nong Shim Chapagetti Noodles 140g,Rs.220
Yuppie Stick Noodles-500g,Rs.60
Jowar Millets Noodles Smart Eleven 175g,Rs.200
Pack Of -5 Wai Wai Chicken Flavoured Instant Noodles Per Pic -75Grm,Rs.100
Multi-Milets Noodles Smart Eleven 175g,Rs.200
Nongshim Soon Veggie Ramyun 5 Pack,Rs.750
Nongshim Shin Cup Noodle 68gm,Rs.170
Current Hot N Spicy Noodles 100 gm (Pack of 10 ),Rs.500
Samyang Buldak Hot Chicken Favor Ramen 5Packs(140g*5=700g),Rs.975
Spartan Egg Chowmein 360G,Rs.75
2pm Koream Ramen Noodles 100gm Pack Of 5,Rs.225
Maggi Masala 2Min Noodles 420G,Rs.210
Samyang 2x Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850
Preeti Instant Noodles 50+5g (45pcs),Rs.675
Wai Wai Quick Chicken Pizza Noodle - 75gm,Rs.575
Wai Wai Chicken Jumbo Noodle - 100g(Pack of 30),Rs.710
2Pm 2X Spicy Akabare Chicken Noodles 100G,Rs.50
Current Spicy Noodles 100g Pack Of 5,Rs.229
Wai Wai Jumbo Pack 30Packs,Rs.740
Samyang Single Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850
Jjajang Buldak Jjajang Hot Chicken Flavor Ramen (140g*5=700g),Rs.990
Ragi Millet Noodles Smart Eleven 175g,Rs.200
Wai Wai Quick Masala Curry Noodle - 75g(Pack of 30),Rs.575
Sweet Potato Noodle - 200 gm,Rs.425
Samyang Carbo Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.1000
