Name,Price,Quantity,Weight,Unit of Weight
Wai Wai Chicken 85g (Pack of 30),Rs.750,30,85,gm
"Wai Wai Zing Hot & Spicy Instant Noodle, 5 Packs, Free Bowl",Rs.120,5,,
Wai Wai Veg Masala 65 Gm (Pack of 30),Rs.660,30,65,gm
Wai Wai Chicken 65 gm (Pack of 30),Rs.660,30,65,gm
Wai Wai Quick Chicken Pizza 70 Gm (Pack of 30),Rs.600,30,70,gm
Samyang Buldak Jjajang Hot Chicken Flavor Ramen(Pack of 5),Rs.994,5,,
Nongshim Shin Cup Noodle 68g,Rs.170,1,68,gm
Saymang Buldak Topokki (Pasta Carbonara Flavor) Pack of 2 (tteokbokki) (rice cake),Rs.500,2,,
Nong-Shim Instant Shin Ramyun Noodle Soup 120G(Pack of 5),Rs.612,1,120,gm
Maggi Veg Atta Noodles Masala 290 gm,Rs.240,1,290,gm
Rara Instant Veg Noodles 70 Gm(Pack of 30),Rs.580,1,70,gm
Hot Pot Gourmet Spicy Vegetable Noodles 100G,Rs.50,1,100,gm
Nong Shim Chapagetti Noodles 140g,Rs.220,1,140,gm
Yuppie Stick Noodles-500g,Rs.60,1,500,gm
Jowar Millets Noodles Smart Eleven 175g,Rs.200,1,175,gm
Pack Of -5 Wai Wai Chicken Flavoured Instant Noodles Per Pic -75Grm,Rs.100,5,75,gm
Multi-Milets Noodles Smart Eleven 175g,Rs.200,1,175,gm
Nongshim Soon Veggie Ramyun 5 Pack,Rs.750,5,,
Nongshim Shin Cup Noodle 68gm,Rs.170,1,68,gm
Current Hot N Spicy Noodles 100 gm (Pack of 10 ),Rs.500,10,100,gm
Spartan Egg Chowmein 360G,Rs.75,1,360,gm
2pm Koream Ramen Noodles 100gm Pack Of 5,Rs.225,5,100,gm
Maggi Masala 2Min Noodles 420G,Rs.210,1,420,gm
Samyang 2x Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850,5,140,gm
Preeti Instant Noodles 50+5g (45pcs),Rs.675,1,5,gm
Wai Wai Quick Chicken Pizza Noodle - 75gm,Rs.575,1,75,gm
Wai Wai Chicken Jumbo Noodle - 100g(Pack of 30),Rs.710,1,100,gm
2Pm 2X Spicy Akabare Chicken Noodles 100G,Rs.50,1,100,gm
Current Spicy Noodles 100g Pack Of 5,Rs.229,5,100,gm
Samyang Single Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850,5,140,gm
Jjajang Buldak Jjajang Hot Chicken Flavor Ramen (140g*5=700g),Rs.990,1,140,gm
Ragi Millet Noodles Smart Eleven 175g,Rs.200,1,175,gm
Wai Wai Quick Masala Curry Noodle - 75g(Pack of 30),Rs.575,1,75,gm
Sweet Potato Noodle - 200 gm,Rs.425,1,200,gm
Samyang Carbo Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.1000,5,140,gm
Nongshim Kimchi Noodles 600gm (120g x 5 pcs),Rs.805,5,600,gm
Shin Ramyun 120g x 5 packs=600g,Rs.750,1,120,gm
Pack Of -5 Rara Instant Noodles Per Pic-75Grm,Rs.100,5,75,gm
Nongshim Shin Ramyun Noodles Soup Family Pack 600gm ( 120gm x 5pcs),Rs.700,1,600,gm
Nongshim Soon Veggie Ramyun Noodles 560g (1122g x 5 Packs),Rs.805,5,560,gm
