Name,Price,Quantity,Weight,Unit of Weight
Om Namo Special Pustakari,Rs.150,1,,
Dulara's Palm-Candy 500g,Rs.250,1,500,gm
Haldiram's Soan Papadi 250gm,Rs.175,1,250,gm
Baishnab Soan Papadi 250G,Rs.260,1,250,gm
Berlino Chocolate Soan Papdi 200G,Rs.170,1,200,gm
Haldirams Soan Papdi 100Gm,Rs.90,1,100,gm
Haldiram's Vegetable Ghee Soan Papdi - 500g,Rs.480,1,500,gm
Rajasthani Soan Papdi Elaichi 400g,Rs.310,1,400,gm
Haldiram's Gulab Jamun 1 kg,Rs.770,1,1000,gm
Haldiram-S Soan Papdi Veg 200 gm,Rs.237,1,200,gm
Haldiram'S Soan Papdi 500 gm x1,Rs.500,1,500,gm
Haldiram's Gulab Jamun - 1kg,Rs.800,1,1000,gm
Basukis Pustakari 500 Gm,Rs.343,1,500,gm
Haldiram-s Soan Papdi Veg 500 gm,Rs.515,1,500,gm
Haldiram's Gulab Jamun - 500gm,Rs.420,1,500,gm
Haldiram's Vegetable Ghee Soan Papdi - 200g,Rs.230,1,200,gm
Tip Top Sugar Free Sweets 1 Kg,Rs.931,1,1000,gm
Angan Sweets Sohan Halwa,Rs.560,1,,
Haldiram's Gulab Jamun 1 kg,Rs.788,1,1000,gm
Angan Sweets Soan Papdi  400gm (Pure Ghee),Rs.430,1,400,gm
Haldirams Soan Papdi Made with Desi Ghee - 200g,Rs.290,1,200,gm
Bikaneri Rasgulla 1 Kg,Rs.440,1,1000,gm
Laxmi Pustakari 200G,Rs.140,1,200,gm
Tip Top Motichur Laddu 1 Kg,Rs.1259,1,1000,gm
Tip Top Mix Sweets Special 1 Kg,Rs.1330,1,1000,gm
Angan Sweets Soan Papdi  200gm (Pure Ghee),Rs.215,1,200,gm
Haldiram's Soan Papdi 500 g,Rs.540,1,500,gm
Haldiram's Rasgulla 1Kg,Rs.770,1,1000,gm
Haldiram'S Gulab Jamun 500 gm,Rs.420,1,500,gm
"Patanjali Anardana Goli, 100g",Rs.276,1,100,gm
Posh Gulab Jamun Mix 200g,Rs.160,1,200,gm
Bikaji Gulab Jamun - 1Kg,Rs.710,1,1000,gm
Paramparagat Gudpak Masala 500 gm,Rs.450,1,500,gm
Haldiram's Rasgulla - 500g,Rs.420,1,500,gm
Bikano Soan Papdi 250g,Rs.295,1,250,gm
Tip Top Peda Special 1 Kg,Rs.1397,1,1000,gm
Haldiram's Rasgulia 500 g,Rs.440,1,500,gm
Haldiram's Rasgulla - 1kg,Rs.800,1,1000,gm
Orange Flavour Sweet Chocolate Natural Rajasthani Candy,Rs.125,1,,
Bambino Gulab Jamun Powder 200G,Rs.160,1,200,gm
