Product name,Price
"Wai Wai Zing Hot & Spicy Instant Noodle, 5 Packs, Free Bowl",Rs.120
Wai Wai Chicken 65 gm (Pack of 30),Rs.660
Maggi Veg Atta Noodles Masala 290 gm,Rs.240
Wai Wai Chicken Bhujia Curry 750g,Rs.110
Wai Wai Veg Masala 65 Gm (Pack of 30),Rs.660
Saymang Buldak Topokki (Pasta Carbonara Flavor) Pack of 2 (tteokbokki) (rice cake),Rs.500
Rara Instant Noodles With Chicken Soup Base 30packs,Rs.600
Wai Wai Chicken 85g (Pack of 30),Rs.750
Samyang 2x Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850
Yashoda Foods Current Noodles Hot 'n' 2x Spicy Noodles  100gm,Rs.45
Wai Wai Quick Chicken Pizza 70 Gm (Pack of 30),Rs.600
Nongshim Soon Veggie Ramyun 5 Pack,Rs.750
Samyang Buldak Jjajang Hot Chicken Flavor Ramen(Pack of 5),Rs.994
Tiger Brand Atta Noodles 400G,Rs.110
Yashoda Foods Current Noodles Hot 'n' Spicy Chilli + Pepper 100gm Carton 20 Pieces,Rs.850
Yashoda Foods Current Noodles Hot 'n' Spicy Chilli + Pepper 100gm Pack of 5,Rs.220
Hot Pot Gourmet Spicy Vegetable Noodles 100G,Rs.50
CG Wai Wai Quick Masala Curry Instant Noodle 60gm,Rs.20
CG Wai Wai Quick Instant Noodles Chicken Pizza Noodle 60gm Pack of 5,Rs.95
Asian 2Pm Noodle Akabare Chicken 2X Spicy 100gm Pack of 5,Rs.220
Spartan Egg Chowmein 360G,Rs.75
Pack Of -5 Wai Wai Chicken Flavoured Instant Noodles Per Pic -75Grm,Rs.100
Maggi Masala 2Min Noodles 420G,Rs.210
Wai Wai Quick Masala Curry 30 packs,Rs.600
Sweet Potato Noodle - 200 gm,Rs.425
Current Hot N Lemon Veggie Soup Noodles (Pack of 5 X 100 gm),Rs.225
Maggi 2-Minute Instant Noodles - Masala - 140 Gm(Pack of 3),Rs.225
CG Wai Wai Per-Cooked Flavoured Instant Noodles 80gm,Rs.25
Current 2X Spicy Noodles (Pack of 5 X 100 gm),Rs.225
CG Wai Wai Quick Instant Noodles Chicken Pizza Noodle 60gm,Rs.20
Nongshim Shin Cup Noodle 68g,Rs.170
Samyang Buldak Carbonara hot Chicken Flavor Topokki Noodle 179gm,Rs.250
CG Wai Wai Quick Masala Curry Instant Noodle 60gm Pack of 5,Rs.95
2Pm 2X Spicy Akabare Chicken Noodles 100G,Rs.50
Jjajang Buldak Korean Black Bean Sauce 700g(5packs),Rs.990
Nong-Shim Instant Shin Ramyun Noodle Soup 120G(Pack of 5),Rs.612
Maggi 2-Minute Noodles Masala 70G,Rs.36
Samyang Single Spicy Hot Chicken Ramen- 140gm* 5 pcs,Rs.850
Yashoda Foods Current Noodles Hot 'n'  Lemon Veggie Soup Noodles 100gm Pack of 5,Rs.220
Asian 2Pm Noodle Akabare Chicken 2X Spicy 100gm,Rs.45
